Species,SPCODE,Family,Common Name,Life Form,Habitat,Status,Notes,Old Species name,OLDSPCODE,
Linum medium var. texanum,LINMEDTEX,Linaceae,Yellow flax,Forb,Prairie,,"Yellow 5-pet flwrs. Thin lin lvs, plae bl-gr, glab, alt, opp, sub-opp. ",Linum medium,LINMED,
Lippia stoechadifolia,LIPSTO,Verbenaceae,Southern Frogfruit,Forb,Prairie,END-FL,"Long lvs distinct venated, toothed. Tall, spreading, in wet places. Stems woody. ",Phyla stoechadifolia,PHYSTO,
Lobelia glandulosa,LOBGLA,Campanulaceae,Glades lobelia,Forb,Prairie,,"Conspic bilab, violet flwr. Thin lin lvs with glands on lvs margins, stalk and leaf often purple. ",,LOBGLA,
Ludwigia alata,LUDALA,Onagraceae,"Al's luggo (""redwing"")",Forb,Wet,,Wet areas.  Alt sessile lvs. 3-4 cm; wings on stem; roots from branches; axillary inconspicuous flws. ,,LUDALA,
Ludwigia curtisii,LUDCUR,Onagraceae,Curt luggo,Forb,Wet,,Alt lvs. Smallish on tall stalk comp. To other LUDSPP,,LUDCUR,
Ludwigia microcarpa,LUDMIC,Onagraceae,Tiny lvd luggo,Forb,Wet,,"Alt. , v. small lvs. Stems often reddish. Wet. ",,LUDMIC,
Ludwigia repens,LUDREP,Onagraceae,Rependent luggo,Forb,Wet,,"OPP lvs. Very wet places only, large pops. ",,LUDREP,
Lygodium microphyllum,LYGMIC,Pteridaeae,Climbing fern,Fern,,Not Native,Climbing fern with small lfts that have finger-like projections,,LYGMIC,
Lysiloma latisiliquum,LYSLAT,Fabaceae,Wild tamarind,Tree,Hammock,,"twice-pinnate cmp lvs, small light-green oblong leaflets.  ",,LYSLAT,
Lythrum alatum var. lanceolatum,LYTALA,Lythraceae,Winged Loosetrife,Forb,Prairie,,small opp thin lin lvs close together. Flw-6-purple petels. Often new buds at top of stalk-look like crown,,LYTALA,
Magnolia virginiana,MAGVIR,Magnoliaceae,Sweet bay,Tree,Bayhead,,Glaucous undersides. Some resemb. to Persea. ,,MAGVIR,
Mecardonia acuminata,MECACU,Scrophulariaceae,Axilflower,Forb,Pineland,,"Low, almost creeping. Opp lvs, ellip-ovate, scalloped margin. White 5-pet flws. ",,MECACU,
Melaleuca quinquenervia,MELQUI,Myrtaceae,Punk Tree,Tree,Disturbed,Not Native,You know it when you see,,MELQUI,
Melanthera nivea,MELNIV,Asteraceae,Snow Squarestem,Forb,Pineland,,"Opp toothed lvs, NOT lobed at base, reddish stem. NB hybridizes w. below...",Melanthera angustifolia(nivea),MELANG,
Melanthera nivea,MELNIV,Asteraceae,Dark-horned sandpaper,Forb,Pineland,,"Opp. toothed lvs, 3-lobed, reddish stem. wh. flwr.  Glades & pinelands. ",Melanthera parvifolia(nivea),MELPAR,
Melothria pendula,MELPEN,Cucurbitaceae,Creeping Cucumber,Vine,Disturbed,,"slender vine, FL tiny yellow, LVS heart-shaped, palmately lobed,  rough-hairy.",,MELPEN,
Metastelma blodgettii,METBLO,Asclepidaceae,Cynanchum,Vine,Prairie,,"Thin, delicate vine. Prd lanceolate lvs. Milky sap. Wh. flwrs. Pod fruit. ",Cynanchum blodgettii,CYNBLO,
Metopium toxiferum,METTOX,Anacardiaceae,Poisonwood,Shrub,Hammock,,"odd-pinn cmpd lvs, 5-7 leaflets, yel. margins & petioles. !!! BE CAREFUL!!!",,METTOX,
Miconia bicolor,MICBIC,Melastomataceae,Spanish leather,Shrub,Hammock,,"Alt. lvs with char ""ladder"" venation. Long petioles, a little reddish.",Tetrazygia bicolor,TETBIC,
Mikania scandens,MIKSCA,Asteraceae,Climbing hempweed,Vine,Prairie,,"Opp, viney, char. lobed leaf shape. Wettish places.  ",,MIKSCA,
Mitreola petiolata,MITPET,Loganiaceae,Miter wort,Forb,Wet,,Basal lvs. PETIOLATE (upper sessile). Opp. Terminal branched cymes. ,,MITPET,
Mitreola sessilifolia,MITSES,Loganiaceae,Sessile-lvd. mitewort,Forb,Wet,,"Basal lvs. SESSILE. Like C. mitreola, low ground, wettish. ",,MITSES,
Morinda royoc,MORROY,Rubiaceae,Cheeseweed,Forb,Pineland,,"Decussate, elliptical lvs. Often eaten. Look for traingle at nodes. ",,MORROY,
Mosiera longipes,MOSLON,Myrtaceae,"""woody chiococca""",Shrub,Pineland,,"Opp yoked lvs, yel petioles and midrib, shiny, lemony. Woody, low, spreading. ",,MOSLON,
Muhlenbergia capillaris var. filipes,MUHCAPFIL,Poaceae,Gulf Muhly,Grass,Prairie,,Pretty pink panicles. Terete. Pointy tips. Caespitose. ,Muhlenbergia filipes,MUHFIL,
Myrcianthes fragrans,MYRFRA,Myrtaceae,Simpson's stopper,Shrub,Hammock,THR-FL,,,MYRFRA,
Myrica cerifera ,MYRCER,Myricaceae,Wax-myrtle,Shrub,Hammock,,"Lvs. Alt, lanceolate, toothed, shiny lvs. Scented. Light bark. ",,MYRCER,
Myrsine cubana,MYRCUB,Myrsinaceae,Myrsine,Shrub,Pineland,,"Lvs. Alt. Bright green, oblong, glossy, droopy, margins entire/recurved",Myrsine floridana,MYRFLO,
Nekemias arborea,NEKARN,Vitaceae,Pepper vine,Vine,,,"Delicate trifol cmpd lvs, shaprly toothed and lobed. ",Ampelopsis arborea,AMPARB,
Nephrolepis spp.,NEPSPP,Davalliaceae,Boston Fern,Fern,,,,,NEPSPP,
Nuphar advena subsp. advena,NUPLUT,Nymphaeaceae,Spatterdock,Forb,Wet,,Lvs. Heart-shaped floating flat. FL-yellow cup-shaped ,Nuphar luteum,NUPLUT,
Nymphaea odorata,NYMODO,Nymphaeaceae,White Water-lily,Forb,Wet,,"Lvs. Round nothched at center, floating flat, FL-white petals/yellow stamens",,NYMODO,
Nymphoides aquatica,NYMAQU,Gentianaceae,Floating-hearts,Forb,Wet,,"Lvs. cordate, underside purplish, steams thick",,NYMAQU,
Ocimum campechianum,OCICAM,Lamiaceae,Wild basil,Herb,Pineland,,"Lvs. Opp. Elliptical , small teeth at margins. FL=purple",Ocimum micranthum,OCIMIC,
Oenothera simulans,OENSIM,Onagraceae,Southern Beeblossum,Forb,Roadside,,Annual-grows ~1.5m tall. Lvs. Alt. ,Gaura angustifolia,GAUANG,
Panicum dichotomiflorum,PANDIC,Poaceae,Fall Panicgrass,Grass,Wet,,,,PANDIC,
Panicum hemitomom,PANHEM,Poaceae,Maidencane,Grass,Wet,,"Blades flat , panicle narrow, spikelets in very short fascicles",,PANHEM,
Panicum virgatum,PANVIR,Poaceae,Switchgrass,Grass,Wet,,Blades distinctly Ved. Often red. V.wet places only. A large grass. ,,PANVIR,
Parthenocissus quinquefolia,PARQUI,Vitaceae,Virginia creeper,Vine,Hammock,,"Palmate lvs. Leaflets 5, toothed. Vine. ",,PARQUI,
Paspalidium geminatum,PASGEM,Poaceae,Paspalidium,Grass,Wet,,"Steams somsewhat succulent in sections, base decumbent, lv. flat",,PASGEM,
Paspalum blodgettii,PASBLO,Poaceae,Coral Paspalum,Grass,,,,,PASBLO,
Paspalum monostachyum,PASMON,Poaceae,Gulfdune Paspalum,Grass,Prairie,,"Deceptively like muhly, but less caespitose, rounder, less striated culms.",,PASMON,
Paspalum saugetii,PASSAU,Poaceae,,Grass,,,,,PASSAU,
Paspalum setaceum,PASSET,Poaceae,,Grass,,,,,PASSET,
Passiflora suberosa,PASSSUB,Passifloraceae,Corky passion flower,Vine,Pineland,,"Highly var. lvs, but often very lobed. Wonky green flwrs. Green - blue berries. ",,PASSSUB,
Peltandra virginica,PELVIR,Araceae,Green Arum,Forb,Wet,,LVS. Arrowhead,,PELVIR,
Persea borbonia var. borbonia,PERBORBOR,Lauraceae,Red bay,Shrub,Pineland,,"Alt, elliptical (sometimes falcate) lvs. Galls. Glaucous underside. ",Persea borbonia,PERBOR,
Persicaria hydropiperoides,PERHYD,Polygonaceae,Milk water pepper,Forb,Wet,,"reddish stems, swollen sheathed nodes. (smartweed)",Polygonum hydropiperoides,POLHYD,
Phlebodium aureum,PHLAUR,Polypodiaceae,Gold-foot fern,Fren,,,"epiphytic on palm stems. large pinnae, indusia.",,PHLAUR,
Phragmites australis,PHRAUS,Poaceae,Common Reed,Grass,Wet,,Large grass. Very short ciliate ligule-light colored collar,,PHRAUS,
Phyla nodiflora,PHYNOD,Verbenaceae,Creeping Charlie,Forb,Prairie,,"Opp, toothed lvs, somewhat succulent, rough-textured. Wet places. ",,PHYNOD,
Phyllanthus amarus,PYHAMA,Euphorbiaceae,Gale-of-wind,Shrub,Pineland,Not Native?,"Alt, round lvs. Tiny plant. Wh. sap. Reddish stems.  ",,PYHAMA,
Physalis walteri,PHYWAL,Solanaceae,Ground-cherry,Forb,Pineland,,"LInear/Lanceolate lvs. Purple 'ridges' on stem, midvein. ",,PHYWAL,
Pinguicula pumila,PINPUM,Lentibulariaceae,Butterwort.,Forb,Prairie,,"Cute pale pink flwr, but BEWARE! Carnivorous rose, yel-gr, inrolled. Wet. Tiny. ",,PINPUM,
Pinus elliottii ,PINELL,Pinaceae,S. Fl. Slash pine,Tree,Pineland,,Strongly resembles a pine tree. ,,PINELL,
Piriqueta cistoides subsp. caroliniana,PIRCIS,Turneraceae,Piriqueta,Forb,Prairie,,"Lvs highly variable, alt, sometimes scalloped. Yel. 5-pet flwr. from 'ball'.   ",,PIRCIS,
Pithecellobium keyense,PITKEY,Fabaceae,FL Keys Blackbead,Tree,Coast,THR-FL,"Lvs. 2 lfts on petiole(Lfts petiole longer then lft petiole), oval, Fl. Fuzzy cream-pink. Pods. Brown",,PITKEY,
Pithecellobium unguis-cati,PITUNG,Fabaceae,Cats-Claw,Tree,Coast,,"Lvs. 2 lfts on petiole (Lfts petioles shorter then Lft petiole), SPINES at base Fl. Fuzzy balls.",,PITUNG,
Pityopsis graminifolia,PITGRA,Asteraceae,Silk-grass,Forb,Pineland,,"Thin, lin. alt. lvs, pale green. Bright yellow flower. pineland.",,PITGRA,
Pityrogramma trifoliata,PITTRI,Pteridaeae,Goldenrod fern,Fern,,,,,PITTRI,
Pluchea baccharis,PLUBAC,Asteraceae,Butt-ugly plant,Forb,Prairie,,"Alt., v. hairy, sessile leaves. Somewhat unattractive when dehiscing. ",Pluchea rosea,PLUROS,
Pluchea odorata,PLUODO,Asteraceae,Smelly butt-ugly plant,Forb,,,"Resembles P. rosea, but petiolate and very odorous (lemony). ",,PLUODO,
Polygala balduinii,POLBAL,Polygalaceae,Bald milkwort,Forb,Prairie,,"alt. lvs. shiny, somewhat fleshy. basal rose seedling. comp wh/yel inflor",,POLBAL,
Polygala boykinii,POLBOY,Polygalaceae,Boykin milkwort,Forb,Pineland,,Lvs. Whorle of 4. Fl. Elongated stalk,,POLBOY,
Polygala incarnata,POLINC,Polygalaceae,Procession flower,Forb,,,Lvs. Very small thin alt. Fl. Purple clumped together at end of stalk,,POLINC,
Pontederia cordata,PONCOR,Pontedariaceae,Pickerelweed,Forb,Wet,,Lvs. Lanceolated heart-shape Fl. Purple stalk Fleashy stalks. Standing water  ,,PONCOR,
Potamogeton illinoensis,POTILL,Potamogetonaceae,Pondweed,Forb,Wet,,Lvs. Alt. Lanceolae thin - distinct  veins FL-looks like small tail,,POTILL,
Proserpinaca palustris,PROPAL,Haloragaceae,Mermaid-weed,Forb,Wet,,"Lower leaves extremely serrated, upper not. Wet - sol'n holes. ",,PROPAL,
Psilotum nudum,PSINUD,Psilotaceae,Nude whisk-fern,Fern,Epiphytic,,Branching thin whisk looking,,PSINUD,
Psychotria nervosa,PSYNER,Rubiaceae,Jitterybbbush,Shrub,Hammock,,"crinkly - diag. venated lvs. oval, ptd. berries dark, edible. ",,PSYNER,
Pteridium aquilinum var. caudatum,PTEAQUCAU,Dennstaedaceae,Lacy bracken fern,Fern,Pineland,,Twice (3?) pinnate lvs. Dry  fronds persistent. weedy.,Pteridium caudatum,PTECAU,
Pteris bahamensis,PTEBAH,Pteridaceae,Bahama ladder brake,Fern,Pineland,THR-FL,pinnate. persistent dead. ,,PTEBAH,
Quercus virginiana,QUEVIR,Fagaceae,Live oak,Tree,Pineland,,"Lvs irreg toothed/lobed, shiny, thick, not large (4-8 cm). Uncommon.  ",,QUEVIR,
Randia aculeata,RANACU,Rubiaceae,Indigo-berry,Shrub,Pineland,,"Decussate, shiny, thin green lvs. light brown woody stems. ",,RANACU,
Rhizophora mangle,RHIMAN,Rhizophora,Red Mangrove,Tree,Coast,,"Lvs. Opp. Elliptical , leathery, PROP ROOTS",,RHIMAN,
Rhus copallinum,RHUCOP,Anacardiaceae,Southern sumac,Shrub,Hammock,,"odd-pinn cmpd lvs, many leaflets, often red. ",,RHUCOP,
Rhynchosia minima,RHYMIN,Fabaceae,Least Snoutbean,Vine/Forb,Pineland,,"Vine. Lvs. alt., trifolialate-Lfts. rhombic-ovate",,RHYMIN,
Rhynchosia reniformis,RHYREN,Fabaceae,Dollarleaf,Forb,Pineland,,"steam stiffish. Lfts. long pedtiolet , unifoliolate, orbicular or reniform-cordate",,RHYREN,
Rhynchospora colorata,RHYCOL,Cyperaceae,White-top sedge,Sedge,Prairie,,"Small, fine sedge. White"" flowers"". grows singularly. Glades. ",Dichromena colorata,DICCOL,
Rhynchospora corniculata,RHYCOR,Cyeraceae,Shortbristle Horned Beaksedge,Sedge,Wet,,"tall 1-1.5 metes, steams triangular,leafy",,RHYCOR,
Rhynchospora divergens,RHYDIV,Cyperaceae,Spreading Beaksedge,Sedge,Wet,,"V. thin bright-green lvs, 'hairy' aspect. Look for fruits. ",,RHYDIV,
Rhynchospora floridensis,RHYFLO,Cyperaceae,White-top sedge II,Sedge,Praire,,"as DICCOL but grows more in clumps, more in pinelands.  ",Dichromena floridensis,DICFLO,
Rhynchospora inundata,RHYINU,Cyperaceae,Narrowfriut Horned Beaksedge,Sedge,Wet,,Big Sedge,,RHYINU,
Rhynchospora microcarpa,RYHMIC,Cyperaceae,Southern Beaksedge,Sedge,Wet,,"drooping inflor, rises and waves above main plant. Culms angled (V), yel-gr. ",,RYHMIC,
Rhynchospora tracyi,RHYTRA,Cyperaceae,Tracy's Beaksedge,Sedge,Wet,,"Superficially sim to muhly. look for striated bases, puffy-ball fruits. ",,RHYTRA,
Ruellia caroliniensis,RUECAR,Acanthaceae,Wild petunia,Forb,Pineland,,"prd. opp. lvs., often purple or purp - veined. ",,RUECAR,
Sabal palmetto,SABPAL,Arecaceae,Sabal/ Cabbage palm,Palm,Pineland,,Lvs. Costapalmate,,SABPAL,
Sabatia grandiflora,SABGRA,Gentianaceae,Marsh pink,Forb,Prairie,,"5-pet pink or white flowers, yel centers. opp, lin, somewhat shiny, succ. lvs.  ",,SABGRA,
Sabatia stellaris,SABSTE,Gentianaceae,Rose-of-Plymouth,Forb,Prairie,,"Looks like SABGRA, but???? Growa more in Big Cypress",,SABSTE,
Saccharum giganteum,ERIGIG,Poaceae,Sugarcane plumegrass,Grass,Prairie,,"Plant robust, steam below the panicle pubescent, nodes bearded,when young",,ERIGIG,
Sachsia polycephala,SACPOL,Asteraceae,Many-headed sascha,Forb,Pineland,END-FL,"As rosette of ""crumpled"" lvs, wavy margins, yel-green. Sides of sol'n holes. ",,SACPOL,
Sagittaria lancifolia,SAGLAN,Alismataceae,Duck potato,Forb,Wet,,wet. 3-pet flwr. spat/lin lvs. on tall erect petioles. ,,SAGLAN,
Salicornia ambigua,SALAMB,Amaranthaceae,Perennial Glasswort,Forb,Coast,,"Lvs. Succulent, red/green. Sections",Salicornia perennis (virginica),SALPER,
Salicornia bigelovii,SALBIG,Amaranthaceae,Annual Glasswort,Forb,Coast,,"Lvs. Succulent, red/green. Sections",,SALBIG,
Salix caroliniana,SALCAR,Salicaceae,Willow,Tree,Wet,,"Lanceolate, alt, finely serrate, petiolate lvs. Wet areas only (holes). ",,SALCAR,
Samolus ebracteatus,SAMEBR,Primulaceae,Pineland pimpernel,Forb,Pineland,,"basal rose of soft, grey-bl-green almost succ lvs. cenetral comp spike, wh flwrs.  ",,SAMEBR,
Saururus cernuus,SAUCER,Saururceae,Lizard's Tail,Forb,,,Lvs. Opp. Kind of-heart-shaped. Fl. White long dropping spike. ,,SAUCER,
Schinus terebinthifolia,SCHTER,Anacardiaceae,Florida holly,Shrub,Disturbed,Not Native,"odd-pinn cmpd lvs, 5-7 leaflets, toothed. red berries. entire cotyledons. ",,SCHTER,
Schizachyrium gracile,SCHGRA,Poaceae,Wire Bluestem,Grass,Pineland,,"20-40 cm tall. Terete thin blades, tufted at tips.",,SCHGRA,
Schizachyrium rhizomatum,SCHRHI,Poaceae,Zig-zag grass,Grass,Prairie,,blades go off at angles; planar 'habit'. can be reddish. short ligule. ,,SCHRHI,
Schizachyrium sanguineum,SCHSAN,Poaceae,W. indian bluestem,Grass,Pineland,,60-120 cm tall. also terete with terminal tufts.,,SCHSAN,
Schoenolirion albiforum,SCHALB,Hyacinthaceae,White Sunnybekk,Forb,Prairie,,Lvs. Flat grass blade-like w/strips. FL. White,,SCHALB,
Schoenus nigricans,SCHNIG,Cyperaceae,The Black Sedge,Sedge,Prairie,,Black fruits. Large clumps. May also look a bit like Muhly.,,SCHNIG,
Schoepfia schreberi,SCHSCH,Schoepfiacea,graywig,Shrub,Hammock,,"alternate, eliptical lvs. Small red berries at lv. Axis  Found near Hidden Lake",Schoepfia chrysophylloides,SCHCHR,
Scleria ciliata,SCLCIL,Cyperaceae,Fringed Nutrush,Sedge,Prairie,,"triangle @ base, fine hairs, deeply groved. White egg-looking seeds at tip",,SCLCIL,
Scleria verticillata,SCLVER,Cyperaceae,Low Nutrush,Sedge,Prairie,,"Annual; long slender clums, inflores. spaced along stems; white tips of old achenes along stem.",,SCLVER,
Scutellaria havanensis,SCUHAV,Lamiaceae,Skull-cap,Forb,Pineland,END-FL,Lvs. Opp small egg-shaped/wider close to petiole. FL. Purple,,SCUHAV,
Senna mexicana var. chapmanii,SENMEXCHA,Fabaceae,Bahama senna,Shrub,Pineland,THR-FL,"Large even-pinnate lvs., FL.5 petals bright yellow /long skinny seed pods",Senna mexicana(chapmanii),SENMEX,
Serenoa repens,SERREP,Arecaceae,Saw palmetto,Palm,Pineland,,scrub. stem rependent. petiole finely saw-tooth. leaflets originate at hub.,,SERREP,
Sesbania herbacea,SESHER,Fabaceae,Danglepod,,,,"Fine Pinnately-compound lvs. FLW-yellow, Tall plant, usally growing in distrebed areas. ",,SESHER,
Sesuvium portulacastrum,SESPOR,Aizoaceae,Shoreline seapurslane,Forb,Coast,,"Lvs. Opp, linear, fleshy, succulant, Mat-forming/sprawling. Fl. Pink 5 petal star",,SESPOR,
Setaria parviflora(geniculata),SETPAR,Poaceae,Foxtail,Grass,Prairie,,"inflor a giveaway. otherwise somewhat tough: ligule of fine hairs, dense. ",,SETPAR,
Sida elliottii,SIDELL,Malvaceae,Elliott's Fanpetals,Forb,Pineland,,"Lvs. Alt linear, skinny, scalloped. Habit erect, single stem. Fl. 5 light yellow oddly heart-shaped petals.",,SIDELL,
Sideroxylon foetidissimum,SIDFOE,Sapotaceae,False Mastic,Tree,Hammock,,"Lvs. Alt. Elliptic blunt-pointed, glossy, yellow-green, with wavy margins and pale midrib. Flw:yellow FR: orange",,SIDFOE,
Sideroxylon reclinatum,SIDREC,Sapotaceae,Buckthorn,Shrub,Hammock,,"Shrub. Thorns, pale bark. Lvs alt, glabrous, sometimes scurfy undersides. ",,SIDREC,
Sideroxylon salicifolium,SIDSAL,Sapotaceae,Willow bustic,Shrub,Hammock,,"Alt lvs, lanceolate, shiny, drip-tips,Shrub. ",Sideroxylon(Bumelia) salicifolium,SIDSAL,
Simarouba glauca,SIMGLA,Simaroubaceae,Paradise tree,Tree,Hammock,,"Lvs. Oddly, pinnate, Lft. oval,leathery, dark green above, light grey under.",,SIMGLA,
Sisyrinchium angustifolium(miamiense) ,SISANG,Iridaceae,Blue-eyed grass,Forb,Prairie,,"Purple, yel-hearted 6-pet flwrs. with fused stamen. Blue-green lvs, para ven. ",,SISANG,
Smilax auriculata,SMIAUR,Liliaceae,Greenbrier,Vine,Pineland,,"Variable, alt lvs. Peculiar shape and venation. Vine. Thorns! Blue berries.",,SMIAUR,
Smilax bona-nox,SMIBON,Smilacaceae,Saw greenbrier,Vine,,,Smilax-Lvs loabed with spines at margins,,SMIBON,
Smilax havanensis,SIMHAV,Smilacaceae,Everglades greenbrier,Vine,,THR-FL,Smilax-Lvs ovate with spines at the margins,,SIMHAV,
Solanum donianum,SOLDON,Solanaceae,Blodgie's nightshade,Shrub,Trans P/P,,Scurfy lvs. tomato-stinky. Orange fruits. Woody stems. ,Solanum blodgettii(donianum),SOLBLO,
Solidago odora,SOLODO,Asteraceae,Smelly goldenrod,Forb,,,,,SOLODO,
Solidago sempervirens,SOLSEM,Asteraceae,Seaside goldenrod,Forb,Coast,,"Lvs. Alt, oblanceolate, tapered at base, thick, fleashy, clasping. Steams thick",,SOLSEM,
Solidago stricta,SOLSTR,Asteraceae,Strict goldenrod,Forb,Prairie,,"Upp. lvs reduced. entire. Seedlings (1-2 lin lvs, char. para. venation) common. ",,SOLSTR,
Sorghastrum secundum,SORSEC,Poaceae,Indian grass,grass,Pineland,,"Flat, br. gr. blades, grows in tufty clump. Flwrs in Mar-Apr - purplish, tight inflor. ",,SORSEC,
Spartina bakeri,SPABAK,Poaceae,Cordgrass,Grass,Prairie,,"Tall .erect rough, silvery cast, ",,SPABAK,
Spermacoce verticillata,SPEVER,Rubiaceae,Yet another rube,Forb,Pineland,THR-FL,"Decussate, thin linear lvs. terminal inflor. glabrous. ",Borreria(Spermacoce) terminalis,BORTER,
Spermacoce verticillata,SPEVER,Rubiaceae,False Buttonweed,Forb,Prairie,THR-FL,"Decussate, thin linear lvs. terminal inflor. glabrous. ",Spermacococe(Borreria) terminalis,SPETER,
Spiranthes spp. ,SPISPP,Orchidaceae,Ladiestresses,Orchid,Prairie,,"Spiral wh. inflor. - persistent. Glades. Lvs linear, nondescript. ",,SPISPP,
Stenandrium dulce ,STEDUL,Acanthaceae,Sweet tight anthers,Forb,Pineland,,"basal rosette of rounded , almost succ. lvs. w. hairy petioles. venation. ",,STEDUL,
Stillingia aquatica,STIAQU,Euphorbiaceae,Water Toothleaf,Shrub,Wet,,,,STIAQU,
Stillingia sylvatica,STISYL,Euphorbiaceae,Queen's root,Forb,Wet,,"Lvs. Reddish linear, serrate margins. White sap. ",,STISYL,
Stylosanthes calcicola,STYCAL,Fabaceae,Glades pencil flower,Forb,Prairie,,"Trifolioliate herb; thin, ptd leaflets. Yel fab flwrs. ",,STYCAL,
Swietenia mahagoni,SWIMAH,Meliaceae,West Indian Mahogany,Tree,Hammock,,"Lvs. Evenly pinnate, Lft. Ovate with pointed tip. Midvein cuved and off center",,SWIMAH,
Symphyotrichum adnatum,SYMADN,Asteraceae,"Tight""leaved"" aster",Forb,Prairie,,"all lvs adnate to stem. Sometime basal rosette of larger lvs, ciliated margins. ",Aster adnatus,ASTADN,
Symphyotrichum dumosum,SYMDUM,Asteraceae,Dumb aster ,Forb,Prairie,,"Also small-leaved aster, but lvs more free, twisted than adnatus. Wh. rays.",Aster dumosus ,ASTDUM,
Symphyotrichum subulatum,SYMSUB,Asteraceae,Annual Saltmarsh Aster,Forb,Wet,,"Glades. Long linear lvs,  entire margins, tend to point upwards.  Branchy looking. Long brats. Flw. White",Aster subulatus,ASTSUB,
Symphyotrichum tenuifolium,SYMTEN,Asteraceae,Perennial marsh aster,Forb,Prairie,,"Glades. Tall, spindly aster with long linear lvs, often yellowish stem.",Aster bracei (tenuifolius),ASTTEN,
Taxodium distichum,TAXDIS,Cupressaceae,Bald cypress,Tree,Wet,,"Low el, standing water. Unmistakable, so no description, sorry.",,TAXDIS,
Telmatoblechnum serrulatum,TELSER,Blechnaceae,Swamp fern,Fern,,,Serrated pinnae. ,Blechnum serrulatum,BLESER,
Teucrium canadense,TEUCAN,Lamiaceae,Canadian wood sage!,Forb,Prairie,,"Sq, stem, opp toothed lvs, wh undersides. ",,TEUCAN,
Thalia geniculata,THAGEN,Marantaceae,Alligator flag,Forb,Wet,,Lvs. Large lanceolate-arrow-shaped,,THAGEN,
Thelypteris kunthii,THEKUN,Thelypteridaceae,Wood fern,Fern,Wet,,"Thrice pinnate, graceful.",,THEKUN,
Tiedemannia filiformis subsp. filiformis,TIEFILFIL,Apiaceae,Water dropwort,Forb,Wet,,conspic. wh. umbel (persistent). tall galde plant. ,Oxypolis filiformis,OXYFIL,
Tillandsia balbisiana,TILBAL,Bromeliaceae,Reflexed wild-pine,Epiphyte,Hammock,THR-FL,"Lvs. Grayish, bulbous base, tapering /twisting, curved ends ",,TILBAL,
Tillandsia fasciculata,TILFAS,Bromeliaceae,Cardinal airplant,Epiphyte,Hammock,END-FL,"Lvs. Grayish-green, stiff and leathery, with scales",,TILFAS,
Tillandsia usneoides,TILUSN,Bromeliaceae,Spanish Moss,Epiphyte,Hammock,,"Lvs. Gray-green, long interwoven narrow ",,TILUSN,
Toxicodendron radicans,TOXRAD,Anacardiaceae,Poison ivy,Vine,Hammock,,"trifoliolate cmpd lvs. scalloped, almost lobed. ",,TOXRAD,
Tragia saxicola,TRASAX,Euphorbiaceae,Noseburn,Forb,Pineland,,"VERY hairy/prickly lvs, sharply toothed. Often yel-green. Low-growing. ",,TRASAX,
Trema micrantha,TREMIC,Ulmaceae,Florida trema,Tree,Hammock,,Alt. serrated grey-green leaves. Infreq pinelands shrub. ,,TREMIC,
Typha domingensis,TYPDOM,Typhaceae,Southern cattail,Forb,Wet,,male and female portions of spike separated by a space,Thypha domingensis,THYDOM,
Uniola paniculata,UNIPAN,Poaceae,Seaoats,Grass,Coast,,,,UNIPAN,
Utricularia cornuta,UTRCOR,Lentibulariaceae,Horned Bladderwort,Forb,Wet,,Terrestial. FL. Large yellow with horn,,UTRCOR,
Utricularia foliosa,UTRFOL,Lentibulariaceae,Leaft Bladderwort,Forb,Wet,,Floating mass of bright green slimmy lvs. FL. yellow ,,UTRFOL,
Utricularia gibba,UTRGIB,Lentibulariaceae,Humped Bladderwort,Forb,Wet,,Terrestial. FL. Yellow,,UTRGIB,
Utricularia purpurea,UTRPUR,Lentibulariaceae,Purple Bladderwort,Forb,Wet,,Floating Lvs.whorlled. Fl purple,,UTRPUR,
Utricularia radiata,UTRRAD,Lentibulariaceae,Little Floating Bladderwort,Forb,Wet,,Floating 4-5 flat branches in a whorl. FL. Yellow,,UTRRAD,
Utricularia sp. ,UTRSPP,Lentibulariaceae,Bladderwort,Forb,Wet,,Reduced stem except in standing water - bladder-mesh. Yel or pur flwr conspic ,,UTRSPP,
Utricularia subulata,UTRSUB,Lentibulariaceae,Zigzag Bladderwort,Forb,Wet,,Terrestial. Fl. Small yellow,,UTRSUB,
Vachellia farnesiana var. farnesiana,VACFAMFAM,Fabaceae,Sweet acacia,Shrub,Pineland,,,Acacia farnesiana,ACAFAR,
Vachellia farnesiana var. pinetorum,VACFAMPIN,Fabaceae,Pinelands acacia,Shrub,Pineland,,"Twice-pinnate lvs, 1"" thorns. Shrub/ sm tree. ",Acacia pinetorum,ACAPIN,
Vernonia blodgettii,VERBLO,Asteraceae,Ironweed,Forb,Pineland,,"Thin, lin, ALT lvs. often dark purple. 5-pet pink/purple flwr. ",,VERBLO,
Vicia acutifolia,VICACU,Fabaceae,Fourleaf vetch,Vine,,,Lvs. Linear sub-opp. Spars. F. long pea-like white-purple.,,VICACU,
Vitis aestivalis,VITAES,Vitaceae,Summer grape,Vine,,,"resembles V. rotundifolia, but hairy undersides (?)",,VITAES,
Vitis rotundifolia,VITROT,Vitaceae,Scuppernong,Vine,Hammock,,"Round, large-toothed, petiolate, alt lvs. ",,VITROT,
Vitis shuttleworthii,VITSHU,Vitaceae,Calusa Grape,Vine,Hammock,,"Lvs. reniform  or suborbicular, lobed, densel hairs white to rusty beneath",,VITSHU,
